Wavelenght	Reflectance
1100.000000	21.394000 
1098.000000	20.957000 
1096.000000	20.517000 
1094.000000	20.167000 
1092.000000	19.779000 
1090.000000	19.599000 
1088.000000	19.405000 
1086.000000	19.230000 
1084.000000	19.213000 
1082.000000	19.190000 
1080.000000	19.255000 
1078.000000	19.493000 
1076.000000	19.744000 
1074.000000	20.090000 
1072.000000	20.357000 
1070.000000	20.879000 
1068.000000	21.382000 
1066.000000	21.835000 
1064.000000	22.408000 
1062.000000	22.954000 
1060.000000	23.486000 
1058.000000	24.056000 
1056.000000	24.668000 
1054.000000	25.212000 
1052.000000	25.829000 
1050.000000	26.409000 
1048.000000	26.922000 
1046.000000	27.405000 
1044.000000	27.848000 
1042.000000	28.270000 
1040.000000	28.679000 
1038.000000	28.960000 
1036.000000	29.213000 
1034.000000	29.322000 
1032.000000	29.430000 
1030.000000	29.381000 
1028.000000	29.276000 
1026.000000	29.136000 
1024.000000	28.934000 
1022.000000	28.614000 
1020.000000	28.263000 
1018.000000	27.758000 
1016.000000	27.246000 
1014.000000	26.650000 
1012.000000	26.002000 
1010.000000	25.346000 
1008.000000	24.599000 
1006.000000	23.829000 
1004.000000	23.045000 
1002.000000	22.201000 
1000.000000	21.387000 
998.000000	 20.544000 
996.000000	 19.710000 
994.000000	 18.894000 
992.000000	 18.102000 
990.000000	 17.372000 
988.000000	 16.695000 
986.000000	 16.089000 
984.000000	 15.580000 
982.000000	 15.170000 
980.000000	 14.870000 
978.000000	 14.678000 
976.000000	 14.589000 
974.000000	 14.744000 
972.000000	 14.986000 
970.000000	 15.379000 
968.000000	 15.881000 
966.000000	 16.510000 
964.000000	 17.288000 
962.000000	 18.130000 
960.000000	 19.080000 
958.000000	 20.041000 
956.000000	 21.129000 
954.000000	 22.160000 
952.000000	 23.169000 
950.000000	 24.180000 
948.000000	 25.118000 
946.000000	 25.995000 
944.000000	 26.792000 
942.000000	 27.487000 
940.000000	 28.074000 
938.000000	 28.508000 
936.000000	 28.821000 
934.000000	 29.027000 
932.000000	 29.131000 
930.000000	 29.082000 
928.000000	 28.987000 
926.000000	 28.883000 
924.000000	 28.796000 
922.000000	 28.759000 
920.000000	 28.795000 
918.000000	 28.891000 
916.000000	 28.976000 
914.000000	 28.948000 
912.000000	 28.694000 
910.000000	 28.019000 
908.000000	 27.149000 
906.000000	 25.912000 
904.000000	 24.573000 
902.000000	 23.043000 
900.000000	 21.643000 
898.000000	 20.251000 
896.000000	 18.914000 
894.000000	 17.754000 
892.000000	 16.826000 
890.000000	 16.006000 
888.000000	 15.447000 
886.000000	 15.062000 
884.000000	 14.728000 
882.000000	 14.586000 
880.000000	 14.849000 
878.000000	 15.566000 
876.000000	 16.486000 
874.000000	 17.552000 
872.000000	 18.740000 
870.000000	 20.069000 
868.000000	 21.421000 
866.000000	 22.856000 
864.000000	 24.249000 
862.000000	 25.588000 
860.000000	 26.871000 
858.000000	 28.024000 
856.000000	 29.034000 
854.000000	 29.921000 
852.000000	 30.560000 
850.000000	 31.015000 
848.000000	 31.277000 
846.000000	 31.316000 
844.000000	 31.144000 
842.000000	 30.746000 
840.000000	 30.171000 
838.000000	 29.418000 
836.000000	 28.452000 
834.000000	 27.397000 
832.000000	 26.160000 
830.000000	 24.784000 
828.000000	 23.355000 
826.000000	 21.838000 
824.000000	 20.301000 
822.000000	 18.775000 
820.000000	 17.297000 
818.000000	 15.988000 
816.000000	 14.845000 
814.000000	 13.957000 
812.000000	 13.342000 
810.000000	 13.023000 
808.000000	 13.045000 
806.000000	 13.410000 
804.000000	 14.064000 
802.000000	 15.030000 
800.000000	 16.271000 
798.000000	 17.687000 
796.000000	 19.270000 
794.000000	 20.725000 
792.000000	 22.340000 
790.000000	 23.805000 
788.000000	 25.132000 
786.000000	 26.350000 
784.000000	 27.278000 
782.000000	 27.847000 
780.000000	 28.206000 
778.000000	 28.518000 
776.000000	 28.277000 
774.000000	 27.762000 
772.000000	 27.012000 
770.000000	 25.963000 
768.000000	 24.681000 
766.000000	 23.016000 
764.000000	 21.395000 
762.000000	 19.643000 
760.000000	 17.808000 
758.000000	 16.023000 
756.000000	 14.336000 
754.000000	 12.827000 
752.000000	 11.604000 
750.000000	 10.767000 
748.000000	 10.366000 
746.000000	 10.426000 
744.000000	 10.987000 
742.000000	 11.960000 
740.000000	 13.336000 
738.000000	 14.997000 
736.000000	 16.830000 
734.000000	 18.723000 
732.000000	 20.534000 
730.000000	 22.198000 
728.000000	 23.600000 
726.000000	 24.729000 
724.000000	 25.464000 
722.000000	 25.813000 
720.000000	 25.776000 
718.000000	 25.361000 
716.000000	 24.570000 
714.000000	 23.444000 
712.000000	 21.998000 
710.000000	 20.314000 
708.000000	 18.409000 
706.000000	 16.381000 
704.000000	 14.375000 
702.000000	 12.509000 
700.000000	 10.959000 
698.000000	 9.829000  
696.000000	 9.302000  
694.000000	 9.442000  
692.000000	 10.276000 
690.000000	 11.722000 
688.000000	 13.660000 
686.000000	 15.888000 
684.000000	 18.252000 
682.000000	 20.516000 
680.000000	 22.594000 
678.000000	 24.278000 
676.000000	 25.572000 
674.000000	 26.303000 
672.000000	 26.552000 
670.000000	 26.230000 
668.000000	 25.381000 
666.000000	 24.019000 
664.000000	 22.249000 
662.000000	 20.120000 
660.000000	 17.766000 
658.000000	 15.367000 
656.000000	 13.194000 
654.000000	 11.473000 
652.000000	 10.433000 
650.000000	 10.276000 
648.000000	 11.094000 
646.000000	 12.818000 
644.000000	 15.297000 
642.000000	 18.243000 
640.000000	 21.371000 
638.000000	 24.275000 
636.000000	 26.749000 
634.000000	 28.613000 
632.000000	 29.729000 
630.000000	 30.100000 
628.000000	 29.717000 
626.000000	 28.618000 
624.000000	 26.849000 
622.000000	 24.497000 
620.000000	 21.697000 
618.000000	 18.703000 
616.000000	 15.947000 
614.000000	 13.738000 
612.000000	 12.587000 
610.000000	 12.827000 
608.000000	 14.520000 
606.000000	 17.387000 
604.000000	 21.038000 
602.000000	 25.000000 
600.000000	 28.607000 
598.000000	 31.585000 
596.000000	 33.686000 
594.000000	 34.816000 
592.000000	 34.937000 
590.000000	 34.007000 
588.000000	 32.085000 
586.000000	 29.244000 
584.000000	 25.573000 
582.000000	 21.716000 
